"1-к квартира, 40.5 м2, 10/23 эт.",3150000,77777.78,40.5,"Горки 2.3 км, Республика Татарстан, Казань, проспект Победы, 139к3",https://www.avito.ru/kazan/kvartiry/1-k_kvartira_40.5_m_1023_et._946173701,23.0,   Вчера 13:21  
"1-к квартира, 43.2 м2, 12/26 эт.",3150000,72916.67,43.2,"Аметьево 500 м, ул. Отрадная, 2 очередь",https://www.avito.ru/kazan/kvartiry/1-k_kvartira_43.2_m_1226_et._997363311,26.0,   Вчера 10:46  
"1-к квартира, 36 м2, 1/9 эт.",3150000,87500.0,36.0,"Проспект Победы 1.5 км, Республика Татарстан, Казань, микрорайон Горки-3, Дубравная улица, 28А",https://www.avito.ru/kazan/kvartiry/1-k_kvartira_36_m_19_et._1092534775,9.0,   Вчера 10:16  
"2-к квартира, 47 м2, 12/19 эт.",3153000,67085.11,47.0,"Горки 4.5 км, Республика Татарстан, Казань, Аграрная улица",https://www.avito.ru/kazan/kvartiry/2-k_kvartira_47_m_1219_et._1486948807,19.0,   Сегодня 08:45  
"1-к квартира, 46 м2, 4/19 эт.",3170000,68913.04,46.0,"Аметьево 500 м, Республика Татарстан, Казань, жилой комплекс Голливуд",https://www.avito.ru/kazan/kvartiry/1-k_kvartira_46_m_419_et._1452967408,19.0,   Сегодня 09:09  
"2-к квартира, 40 м2, 15/19 эт.",3190000,79750.0,40.0,"Аметьево 600 м, Республика Татарстан, Казань, жилой комплекс Голливуд",https://www.avito.ru/kazan/kvartiry/2-k_kvartira_40_m_1519_et._1681282873,19.0,   Вчера 19:36  
"1-к квартира, 36 м2, 4/5 эт.",3199000,88861.11,36.0,"Кремлёвская, Поселковая 29",https://www.avito.ru/kazan/kvartiry/1-k_kvartira_36_m_45_et._1483699298,5.0,   Вчера 13:56  
"2-к квартира, 43.2 м2, 9/9 эт.",3199000,74050.93,43.2,"Суконная слобода 400 м, Казань, Республика Татарстан, Бойничная улица, 8",https://www.avito.ru/kazan/kvartiry/2-k_kvartira_43.2_m_99_et._1259176468,9.0,   Вчера 11:07  
"1-к квартира, 40 м2, 10/16 эт.",3200000,80000.0,40.0,"Горки 2.5 км, Республика Татарстан, Казань, проспект Победы, 139к1",https://www.avito.ru/kazan/kvartiry/1-k_kvartira_40_m_1016_et._1703659511,16.0,   Вчера 19:58  
"1-к квартира, 45 м2, 2/10 эт.",3280000,72888.89,45.0,"Горки 5 км, Мамадышский тракт улица, стр. 10",https://www.avito.ru/kazan/kvartiry/1-k_kvartira_45_m_210_et._1177426947,10.0,   Вчера 15:18  
"1-к квартира, 50 м2, 13/19 эт.",3290000,65800.0,50.0,"Горки 3.8 км, Казань, Республика Татарстан, улица Академика Глушко, 39",https://www.avito.ru/kazan/kvartiry/1-k_kvartira_50_m_1319_et._1400808155,19.0,   Вчера 23:55  
"2-к квартира, 35.5 м2, 2/4 эт.",3300000,92957.75,35.5,"Площадь Тукая 600 м, Республика Татарстан, Казань, Катановский переулок, 2",https://www.avito.ru/kazan/kvartiry/2-k_kvartira_35.5_m_24_et._1560476494,4.0,   Вчера 15:54  
"1-к квартира, 42 м2, 13/22 эт.",3300000,78571.43,42.0,"Аметьево 700 м, Казань, Республика Татарстан, Отрадная улица",https://www.avito.ru/kazan/kvartiry/1-k_kvartira_42_m_1322_et._1472503037,22.0,   Вчера 10:47  
